Brand,RAM,Storage,Processor,Price
HP,32,1024,Ryzen 3,88000
MSI,8,1024,Ryzen 5,138892
MSI,64,1024,Ryzen 7,262359
Asus,8,256,Ryzen 9,168491
HP,8,1024,i3,53000
Lenovo,8,512,i7,65700
Acer,32,1024,Ryzen 5,83300
HP,32,2048,i9,163000
Acer,8,1024,i7,70550
Dell,4,1024,Ryzen 5,60000
Dell,4,512,i3,33000
Dell,32,256,i3,70000
MSI,4,256,i5,101307
HP,32,512,Ryzen 3,76000
Dell,4,1024,i3,45000
MSI,16,512,Ryzen 9,185780
Acer,32,1024,M1,108800
Apple,32,1024,M2,273000
Lenovo,32,2048,i3,94500
MSI,32,1024,i5,170023
Lenovo,16,512,Ryzen 5,61200
Dell,32,512,Ryzen 7,113000
Acer,32,1024,Ryzen 3,70550
HP,32,1024,Ryzen 7,123000
Acer,8,2048,Ryzen 3,57800
Dell,8,256,Ryzen 5,50000
Acer,8,512,Ryzen 7,60350
Apple,8,2048,i5,168000
Lenovo,8,2048,M1,103500
Asus,8,512,i9,162344
Lenovo,4,512,i3,30000
Dell,32,512,i7,113000
Acer,32,512,i7,90100
Apple,64,512,i9,277200
Acer,32,256,M2,117300
Acer,64,1024,i7,130050
Apple,4,2048,i3,133000
Asus,4,256,i3,78953
Lenovo,16,256,i7,72000
Acer,4,512,i3,30000
Dell,64,512,M1,158000
Asus,32,2048,i7,227727
Apple,64,1024,Ryzen 9,294000
Lenovo,8,1024,Ryzen 7,76500
Asus,4,1024,i3,111954
Dell,16,2048,i7,125000
MSI,64,2048,i7,288581
Asus,4,2048,i3,141072
Lenovo,8,1024,M1,85500
Lenovo,64,2048,M2,193500
Lenovo,8,2048,Ryzen 5,76500
Asus,16,2048,Ryzen 5,182065
Acer,32,2048,Ryzen 3,87550
Acer,32,512,M2,124100
Dell,8,1024,Ryzen 7,90000
Apple,8,512,i5,123199
Asus,64,1024,Ryzen 7,222180
Asus,32,256,Ryzen 9,203083
Asus,8,512,Ryzen 5,116281
Apple,8,256,Ryzen 3,91000
Asus,8,256,M1,150425
Apple,4,1024,Ryzen 5,125999
Apple,8,2048,Ryzen 3,147000
Apple,32,512,i5,172200
Acer,4,512,i5,34850
Apple,32,256,Ryzen 9,217000
Lenovo,32,512,Ryzen 7,97200
Asus,32,2048,i9,241889
Lenovo,8,256,i3,30000
Dell,8,256,Ryzen 5,50000
Acer,32,256,i9,100300
Acer,16,2048,Ryzen 7,100300
Dell,64,2048,i9,200000
MSI,16,512,i3,134355
Asus,64,256,i7,200853
Acer,8,512,Ryzen 9,77350
MSI,4,256,i5,102521
Dell,64,512,i7,148000
Asus,4,2048,Ryzen 5,130331
HP,4,512,i5,46000
Asus,8,2048,i9,209705
Apple,8,512,Ryzen 3,102200
Asus,64,1024,i7,242866
HP,16,2048,i7,123000
Apple,64,512,M2,305200
Acer,4,2048,Ryzen 5,62050
MSI,64,256,i9,237744
Apple,4,2048,Ryzen 5,154000
Lenovo,16,1024,i7,90000
Apple,8,2048,Ryzen 3,147000
HP,8,256,Ryzen 9,88000
Asus,64,256,Ryzen 9,232180
MSI,16,512,Ryzen 9,208097
MSI,32,512,i5,171530
Asus,8,512,i3,104753
Asus,32,2048,Ryzen 7,209173
Acer,32,256,Ryzen 5,66300
HP,4,1024,i3,43000
Acer,16,512,i3,43350
Acer,8,2048,i7,87550
HP,32,1024,i7,123000
MSI,4,512,Ryzen 3,111293
Dell,32,2048,Ryzen 7,145000
Apple,4,256,Ryzen 3,77000
Asus,8,512,i3,116027
Dell,8,1024,i7,90000
Dell,64,2048,Ryzen 9,200000
Lenovo,8,1024,Ryzen 9,94500
Acer,8,512,M2,94350
Dell,8,1024,Ryzen 5,70000
Dell,8,256,M2,110000
Lenovo,32,1024,Ryzen 3,76500
MSI,32,512,i3,153165
Acer,64,512,M1,128350
Dell,4,1024,Ryzen 3,45000
MSI,16,1024,i5,174358
Asus,4,512,Ryzen 5,114887
Lenovo,8,2048,Ryzen 3,63000
Apple,32,256,Ryzen 3,140000
MSI,16,1024,M1,210541
HP,64,1024,Ryzen 7,158000
Dell,64,256,M1,150000
Acer,64,512,i9,136850
Dell,16,2048,i5,105000
HP,16,512,M1,101000
Asus,8,512,i5,119982
Lenovo,32,2048,Ryzen 3,94500
Acer,32,2048,i9,134300
Dell,4,512,Ryzen 5,48000
Dell,64,2048,M1,190000
Acer,64,2048,M1,155550
Dell,16,1024,i3,70000
MSI,64,2048,M1,300390
HP,32,1024,Ryzen 5,103000
Asus,64,2048,M2,299095
Dell,16,256,Ryzen 3,50000
Acer,16,256,Ryzen 3,36550
Acer,64,512,Ryzen 7,119850
Apple,64,1024,M2,322000
HP,16,256,Ryzen 5,63000
Asus,4,1024,Ryzen 3,99358
Acer,16,512,M1,81600
Acer,8,1024,M1,79050
HP,32,256,Ryzen 5,83000
Lenovo,8,512,Ryzen 7,65700
MSI,8,2048,Ryzen 9,222529
Lenovo,4,512,Ryzen 3,30000
Dell,16,2048,M1,135000
MSI,16,1024,Ryzen 5,154236
Asus,4,2048,i5,144205
Acer,32,512,i7,90100
Lenovo,16,1024,Ryzen 7,90000
Dell,4,256,i3,30000
MSI,8,1024,Ryzen 9,196534
HP,64,256,M2,178000
Apple,4,512,Ryzen 3,88200
Dell,32,256,i3,70000
MSI,8,512,i3,119870
Asus,64,256,Ryzen 9,235655
Dell,32,1024,Ryzen 3,90000
Dell,4,256,i3,30000
Acer,32,256,i3,53550
Apple,32,1024,Ryzen 5,189000
Dell,8,1024,i5,70000
Asus,4,512,i3,98991
Dell,8,1024,Ryzen 5,70000
Apple,32,256,i5,161000
HP,16,512,Ryzen 3,56000
Acer,64,1024,i7,130050
Lenovo,32,2048,i5,108000
Apple,32,256,i3,140000
Asus,16,2048,Ryzen 7,193354
Lenovo,32,256,i5,72000
Dell,32,256,i3,70000
MSI,4,512,i5,101981
MSI,4,256,Ryzen 5,102402
MSI,4,256,i5,120859
Asus,64,1024,i7,249151
Lenovo,16,1024,Ryzen 9,108000
Lenovo,32,2048,i3,94500
Asus,16,256,M1,156286
